song_name,artist_name,album_name,thumbnail,link,queryname
Mr. Doctor Man,Palaye Royale,Boom Boom Room (Side A),https://i.scdn.co/image/ab67616d0000b273cfa2c1e4215f48005ac31fde,https://www.youtube.com/watch?v=nzM134EhSFQ,Mr. Doctor Man by Palaye Royale
Monsters (feat. blackbear),All Time Low,"Wake Up, Sunshine",https://i.scdn.co/image/ab67616d0000b27328c24b54e9149cab239ac1cd,https://www.youtube.com/watch?v=6aIVwQFSnVc,Monsters (feat. blackbear) by All Time Low
Sleepwalking,Smash Into Pieces,Sleepwalking,https://i.scdn.co/image/ab67616d0000b27328c05b155a32f9967b0f29e8,https://www.youtube.com/watch?v=WpkTLgdJEg8,Sleepwalking by Smash Into Pieces
Any Other Way,We The Kings,Somewhere Somehow,https://i.scdn.co/image/ab67616d0000b273734dbf67d585a457a8d2b676,https://www.youtube.com/watch?v=2j9VVW_mYQk,Any Other Way by We The Kings
Loser,Sueco,It Was Fun While It Lasted,https://i.scdn.co/image/ab67616d0000b273b37f851c17f61753edb0e128,https://www.youtube.com/watch?v=X3iWidBdQsU,Loser by Sueco
Born For This,The Score,Carry On,https://i.scdn.co/image/ab67616d0000b27326f401c31ac9944252d66fab,https://www.youtube.com/watch?v=aJ5IzGBnWAc,Born For This by The Score
Demon,Savage Hands,The Truth in Your Eyes,https://i.scdn.co/image/ab67616d0000b273b75c58c19c787ca671d5c75c,https://www.youtube.com/watch?v=9rts4cCh5Kg,Demon by Savage Hands
Running Away from Home,Smash Into Pieces,A New Horizon,https://i.scdn.co/image/ab67616d0000b273119db6e538822a6b39386db0,https://www.youtube.com/watch?v=dt4EEvQSUkc,Running Away from Home by Smash Into Pieces
Killer In The Mirror,Set It Off,Midnight,https://i.scdn.co/image/ab67616d0000b2739ddcf67070c295e7d5f7ce69,https://www.youtube.com/watch?v=oniytGOUi3c,Killer In The Mirror by Set It Off
Killing Me Slowly,Bad Wolves,N.A.T.I.O.N.,https://i.scdn.co/image/ab67616d0000b2731289003f4068380088b64043,https://www.youtube.com/watch?v=Dhx_SGsuNfE,Killing Me Slowly by Bad Wolves
Zombie,Bad Wolves,Zombie,https://i.scdn.co/image/ab67616d0000b273eb034e1b6f184377ea92965a,https://www.youtube.com/watch?v=9XaS93WMRQQ,Zombie by Bad Wolves
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",https://i.scdn.co/image/ab67616d0000b273890ce61533a89e00ce593fcb,https://www.youtube.com/watch?v=ql9-82oV2JE,"You're Gonna Go Far, Kid by The Offspring"
Lost In the Night (Chainsaw Man),Rustage,Lost In the Night (Chainsaw Man),https://i.scdn.co/image/ab67616d0000b273558776877f5e7a336e7c10a5,https://www.youtube.com/watch?v=HFUc9u6Vbag,Lost In the Night (Chainsaw Man) by Rustage
Devil in Disguise,EMM,RUBY,https://i.scdn.co/image/ab67616d0000b273d259c9223d3fffa9f1a55c07,https://www.youtube.com/watch?v=KZY-JxclgRE,Devil in Disguise by EMM
"One Hell of a Team (Inspired by ""Hazbin Hotel"")",AmaLee,"One Hell of a Team (Inspired by ""Hazbin Hotel"")",https://i.scdn.co/image/ab67616d0000b27327c47304735ea0c4de9ff5e3,https://www.youtube.com/watch?v=6qV6uCI8Eb8,"One Hell of a Team (Inspired by ""Hazbin Hotel"") by AmaLee"
Emperor's New Clothes,Panic! At The Disco,Death of a Bachelor,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,https://www.youtube.com/watch?v=7qFF2v8VsaA,Emperor's New Clothes by Panic! At The Disco
Come and Get It from Me,Sun Heat,Ready to Go,https://i.scdn.co/image/ab67616d0000b2731fae1aad455086e7ede626e7,https://www.youtube.com/watch?v=_hll0j56Wc0,Come and Get It from Me by Sun Heat
cinderella's dead,EMELINE,cinderella's dead,https://i.scdn.co/image/ab67616d0000b273b90582e9dd66ada7f5597957,https://www.youtube.com/watch?v=Tf7qp1CwanI,cinderella's dead by EMELINE
Boyfriend,Dove Cameron,Boyfriend,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc,https://www.youtube.com/watch?v=SOn3_0Oav0k,Boyfriend by Dove Cameron
Wicked Witch of the Westside,Ellise,Letting the Wolf In,https://i.scdn.co/image/ab67616d0000b2737518548e562637bb371b2413,https://www.youtube.com/watch?v=kzkuKAZa6Hs,Wicked Witch of the Westside by Ellise
Control,Halsey,BADLANDS (Deluxe),https://i.scdn.co/image/ab67616d0000b27374fefed78db6d6cf4d963fdc,https://www.youtube.com/watch?v=so8V5dAli-Q,Control by Halsey
House of Memories,Panic! At The Disco,Death of a Bachelor,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,https://www.youtube.com/watch?v=DGn3Ic8XC8M,House of Memories by Panic! At The Disco
Devil I Know,Allie X,Cape God,https://i.scdn.co/image/ab67616d0000b273fe3bc02e8644d5345a77f34f,https://www.youtube.com/watch?v=earE2mLDGjU,Devil I Know by Allie X
Sociopath,StayLoose,Sociopath,https://i.scdn.co/image/ab67616d0000b2733622ab7b05c3bb0e4a93e1c9,https://www.youtube.com/watch?v=14Bbe00hkgw,Sociopath by StayLoose
Playground (from the series Arcane League of Legends),Bea Miller,Arcane League of Legends (Soundtrack from the Animated Series),https://i.scdn.co/image/ab67616d0000b273d10169c17651c8b2ab5c8416,https://www.youtube.com/watch?v=3jfI-z__GY0,Playground (from the series Arcane League of Legends) by Bea Miller
Meant to be Yours,Jamie Muscato,Heathers the Musical (Original West End Cast Recording),https://i.scdn.co/image/ab67616d0000b273fc13160fc9e797cb7612b5a2,https://www.youtube.com/watch?v=kiPZuWS2S-k,Meant to be Yours by Jamie Muscato
